Country,Year,Production_Mb,Consumption_Mb,Reserves_Gb,Price_Brent,R_to_P_Years,has_reserve,has_production,has_consumption,coverage_pct
Algeria,1980,0.4139,0.0438,8.2,36.83,19811.07,True,True,True,1.0
Algeria,1981,0.3756,0.0474,8.1,35.93,21566.3565,True,True,True,1.0
Algeria,1982,0.3796,0.0504,9.4,32.97,24762.9083,True,True,True,1.0
Algeria,1983,0.3749,0.0566,9.2,29.55,24542.8232,True,True,True,1.0
Algeria,1984,0.4095,0.0628,9.0,28.78,21976.412,True,True,True,1.0
Algeria,1985,0.3968,0.0642,8.8,27.56,22179.9347,True,True,True,1.0
Algeria,1986,0.411,0.0657,8.8,14.43,21411.7132,True,True,True,1.0
Algeria,1987,0.43,0.0668,8.6,18.44,20001.3954,True,True,True,1.0
Algeria,1988,0.45,0.0664,9.2,14.92,20442.4002,True,True,True,1.0
Algeria,1989,0.4657,0.0701,9.2,18.23,19753.5105,True,True,True,1.0
Algeria,1990,0.499,0.0774,9.2,23.73,18438.5365,True,True,True,1.0
Algeria,1991,0.5011,0.0756,9.2,20.0,18357.9603,True,True,True,1.0
Algeria,1992,0.4822,0.0766,9.2,19.32,19080.6052,True,True,True,1.0
Algeria,1993,0.4825,0.0759,9.2,16.97,19066.1721,True,True,True,1.0
Algeria,1994,0.4807,0.0737,10.0,15.82,20802.7793,True,True,True,1.0
Algeria,1995,0.4782,0.0715,10.0,17.02,20913.9391,True,True,True,1.0
Algeria,1996,0.5033,0.0675,10.8,20.67,21456.8826,True,True,True,1.0
Algeria,1997,0.5285,0.0679,11.2,19.09,21191.251,True,True,True,1.0
Algeria,1998,0.53,0.0701,11.3,12.72,21321.5593,True,True,True,1.0
Algeria,1999,0.5103,0.0679,11.3,17.97,22145.1388,True,True,True,1.0
Algeria,2000,0.5654,0.0694,11.3,28.5,19986.381,True,True,True,1.0
Algeria,2001,0.5599,0.0723,11.3,24.44,20181.8149,True,True,True,1.0
Algeria,2002,0.6033,0.0803,11.3,25.02,18728.9196,True,True,True,1.0
Algeria,2003,0.6665,0.0836,11.8,28.83,17704.6917,True,True,True,1.0
Algeria,2004,0.7012,0.0869,11.8,38.27,16829.1344,True,True,True,1.0
Algeria,2005,0.7264,0.0909,12.3,54.52,16933.985,True,True,True,1.0
Algeria,2006,0.7223,0.0942,12.3,65.14,17028.1102,True,True,True,1.0
Algeria,2007,0.7271,0.1044,12.2,72.39,16779.4466,True,True,True,1.0
Algeria,2008,0.7121,0.1128,12.2,97.26,17132.0643,True,True,True,1.0
Algeria,2009,0.6479,0.1194,12.2,61.67,18830.793,True,True,True,1.0
Algeria,2010,0.6165,0.1201,12.2,79.5,19789.6137,True,True,True,1.0
Algeria,2011,0.5993,0.1274,12.2,111.26,20356.0643,True,True,True,1.0
Algeria,2012,0.561,0.135,12.2,111.67,21746.6867,True,True,True,1.0
Algeria,2013,0.542,0.1413,12.2,108.66,22508.1869,True,True,True,1.0
Algeria,2014,0.58,0.1464,12.2,98.95,21035.0268,True,True,True,1.0
Algeria,2015,0.5687,0.1551,12.2,52.39,21453.5671,True,True,True,1.0
Algeria,2016,0.5756,0.1504,12.2,43.73,21195.0904,True,True,True,1.0
Algeria,2017,0.5621,0.1489,12.2,54.19,21704.3231,True,True,True,1.0
Algeria,2018,0.5515,0.1507,12.2,71.31,22120.8852,True,True,True,1.0
Algeria,2019,0.5428,0.157,12.2,64.21,22477.9136,True,True,True,1.0
Algeria,2020,0.4862,0.1405,12.2,41.84,25093.5867,True,True,True,1.0
Algeria,2021,0.4938,0.1478,,70.91,,False,True,True,0.6667
Algeria,2022,0.5267,0.1527,,101.32,,False,True,True,0.6667
Algeria,2023,0.5351,0.1606,,82.64,,False,True,True,0.6667
Algeria,2024,0.5037,0.1684,,80.76,,False,True,True,0.6667
Angola,1980,0.0548,,1.4,36.83,25570.7763,True,True,False,0.6667
Angola,1981,0.0529,,1.1,35.93,20784.1285,True,True,False,0.6667
Angola,1982,0.0474,,1.5,32.97,31612.2234,True,True,False,0.6667
Angola,1983,0.065,,1.7,29.55,26165.9227,True,True,False,0.6667
Angola,1984,0.0745,,2.1,28.78,28203.062,True,True,False,0.6667
Angola,1985,0.0847,,2.0,27.56,23618.3278,True,True,False,0.6667
Angola,1986,0.1033,,1.4,14.43,13553.415,True,True,False,0.6667
Angola,1987,0.1296,,2.0,18.44,15435.0762,True,True,False,0.6667
Angola,1988,0.165,,2.0,14.92,12122.6815,True,True,False,0.6667
Angola,1989,0.1679,,2.1,18.23,12507.4449,True,True,False,0.6667
Angola,1990,0.1734,,1.6,23.73,9228.5508,True,True,False,0.6667
Angola,1991,0.1818,,1.5,20.0,8252.1868,True,True,False,0.6667
Angola,1992,0.2008,,1.3,19.32,6475.7161,True,True,False,0.6667
Angola,1993,0.184,,1.9,16.97,10328.3322,True,True,False,0.6667
Angola,1994,0.2033,,3.0,15.82,14756.1545,True,True,False,0.6667
