Country,Region,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Canada,North America,920,1012,1106,1194,1306,1473,1582,1829,2114,1993,1735,1598,1608,1597,1835,1764,1610,1590,1661,1775,1813,1805,1909,2002,1961,1968,1984,2066,2189,2281,2402,2480,2588,2672,2604,2703,2728,2858,3003,3080,3041,3208,3290,3207,3202,3332,3515,3740,4000,4271,4388,4464,4813,5244,5371,5128,5414,5575,5648,5888
Mexico,North America,362,370,411,439,461,487,486,506,525,653,806,894,1085,1327,1607,2129,2553,3001,2930,2942,2912,2758,2879,2877,2897,2941,3100,3098,3115,3136,3055,3270,3409,3499,3352,3456,3568,3593,3795,3830,3766,3689,3479,3165,2978,2959,2940,2911,2875,2784,2587,2456,2224,2068,1918,1910,1926,1943,2040,1911
US,North America,9014,9579,10219,10600,10828,11297,11156,11185,10946,10461,10008,9736,9863,10274,10136,10170,10181,10199,10247,10509,10580,10231,9944,9765,9159,8914,9076,8868,8583,8389,8322,8295,8269,8011,7731,7733,7670,7624,7368,7250,6901,6825,6857,6783,7267,7559,7890,8932,10101,11796,12774,12359,13143,15329,17138,16498,16733,17925,19433,20135
Argentina,South & Central America,276,293,319,348,362,399,432,444,434,423,406,408,442,466,487,506,519,517,520,509,491,465,459,481,492,517,526,587,630,695,758,823,877,890,835,848,921,908,913,874,842,849,814,802,730,712,667,657,644,638,646,610,590,592,720,721,797,955,1072,1214
Brazil,South & Central America,96,117,147,161,176,167,175,171,174,182,177,172,167,166,172,188,220,268,339,474,561,591,590,574,613,651,643,653,667,692,715,808,869,1003,1132,1276,1339,1498,1558,1543,1706,1806,1831,1897,2029,2137,2179,2145,2110,2341,2525,2607,2731,2691,2890,3030,2991,3112,3499,3466
Colombia,South & Central America,203,199,192,176,214,226,224,203,192,175,164,153,144,137,129,131,140,147,158,173,183,307,388,380,407,446,430,442,458,460,591,635,667,775,838,687,604,578,541,528,526,527,531,588,671,786,915,944,1010,990,1006,886,854,865,886,781,736,754,779,773
Peru,South & Central America,66,66,74,77,75,75,64,67,73,79,73,77,92,152,193,196,194,196,171,185,189,179,165,142,131,130,116,117,127,128,123,121,120,116,107,100,98,94,92,93,112,118,117,122,155,165,159,157,171,175,153,141,136,139,144,131,128,128,123,125
Trinidad & Tobago,South & Central America,135,153,179,191,157,140,129,141,166,187,216,212,229,230,214,212,189,177,160,170,176,169,155,151,149,150,149,144,134,141,142,141,135,134,141,138,134,154,164,152,172,174,155,149,150,145,136,117,116,114,109,97,99,87,82,76,77,74,74,74
Venezuela,South & Central America,3503,3402,3576,3639,3631,3754,3615,3301,3455,3060,2422,2371,2314,2227,2425,2228,2163,1954,1852,1853,1744,1886,1910,1998,2012,2244,2501,2499,2592,2752,2959,3137,3321,3447,3095,3112,3174,2975,2869,3306,3302,3340,3237,3228,3038,2842,2755,2704,2680,2692,2864,2566,2209,1659,1053,676,665,726,843,960
Denmark,Europe,-,-,-,-,-,-,-,2,3,2,3,4,10,8,8,6,15,34,43,47,60,74,93,96,112,121,142,157,168,185,186,208,230,238,299,363,348,371,368,390,380,346,311,287,265,249,225,204,178,167,158,142,138,116,103,72,66,65,60,60
