Country,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,North America,39.5,40.2,40.3,40.5,40.5,40.9,41.1,41.2,41.5,41.3,40.3,40.1,39.6,39.5,48.1,48.4,48.9,48.8,49.8,181.6,181.5,180.9,180.4,179.9,179.6,180,179.4,178.8,176.3,175,174.8,174.2,173.7,173,172.2,171.5,170.5,171.8,170.7,169.1,168.1
Mexico,North America,47.2,52.9,55,55,29.8,29.4,29,28.5,27.9,27.3,26.9,26.7,26.9,26.6,26,25.4,24.9,39,41.1,24.7,24.6,23.7,22.4,15.1,14.1,12.9,11.8,11,10.5,10.4,10.4,10.2,10,10.1,9.8,9.7,7.6,7,6.5,6.1,6.1
US,North America,36.5,36.5,35.1,35.6,36.1,36.4,35.1,35.4,35.1,34.3,33.8,32.1,31.2,30.2,29.6,29.8,29.8,30.5,28.6,29.7,30.4,30.4,30.7,29.4,29.3,29.9,29.4,30.5,28.4,30.9,35,39.8,44.2,48.5,55,48,50,61.2,68.9,68.8,68.8
Argentina,South & Central America,2.5,2.2,1.9,2.4,2.3,2.2,2.2,2.2,2.3,2.2,1.6,1.7,2,2.2,2.3,2.4,2.6,2.6,2.8,3.1,3,2.9,2.8,2.7,2.5,2.2,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.3,2.4,2.4,2.2,2,2.4,2.5,2.5
Brazil,South & Central America,1.3,1.5,1.7,1.8,2,2.2,2.4,2.6,2.8,2.8,4.5,4.8,5,5,5.4,6.2,6.7,7.1,7.4,8.2,8.5,8.5,9.8,10.6,11.2,11.8,12.2,12.6,12.8,12.9,14.2,15,15.3,15.5,16.2,13,12.6,12.8,13.4,12.7,11.9
Colombia,South & Central America,0.6,0.5,0.6,0.6,1.1,1.2,1.7,1.9,2.1,2,2,1.9,3.2,3.2,3.1,3,2.8,2.6,2.5,2.3,2,1.8,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.9,2,2.2,2.4,2.4,2.3,2,1.7,1.8,2,2
Ecuador,South & Central America,0.6,0.5,0.5,0.5,0.7,0.7,0.7,0.9,0.9,0.8,0.8,0.9,1.9,2.1,2,2,2,2.1,2.4,2.6,2.7,3.4,3.7,3.7,3.7,2.6,2.4,2.5,2.5,2.7,2.1,2,1.9,2.1,1.8,1.8,1.7,1.6,1.3,1.3,1.3
Peru,South & Central America,0.6,0.9,0.8,0.7,0.7,0.6,0.5,0.5,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1,0.9,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.4,1.6,1.4,1.2,1.2,1,0.9,0.8,0.7
Trinidad & Tobago,South & Central America,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1,1.1,0.9,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.2,0.2,0.2,0.2,0.2
Venezuela,South & Central America,19.5,19.9,24.9,25.9,28,54.5,55.5,58.1,58.5,59,60.1,62.6,63.3,64.4,64.9,66.3,72.7,74.9,76.1,76.8,76.8,77.7,77.3,77.2,79.7,80,87.3,99.4,172.3,211.2,296.5,297.6,297.7,298.4,300,300.9,302.3,302.8,303.8,303.8,303.8
Denmark,Europe,0.5,0.4,0.3,0.3,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,1.1,1.3,1.3,1.3,1.3,1.3,1.2,1.1,0.8,0.9,0.9,0.8,0.7,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4
Italy,Europe,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.6,0.6,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6
Norway,Europe,4,4,3.8,4.9,5,5.9,6.5,6.6,8.2,8.4,8.6,8.8,9.7,9.6,9.7,10.8,11.7,12,11.7,10.9,11.4,11.6,10.4,10.1,9.7,9.7,8.5,8.2,7.5,7.1,6.8,6.9,7.5,7,6.5,8,7.6,7.9,8.6,8.5,7.9
Romania,Europe,1.1,1,1,1.6,1.5,1.4,1.4,1.3,1.2,1.2,1.5,1.5,1.2,1,1,1,1,0.9,1.2,1.2,1.2,1.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
United Kingdom,Europe,8.4,7.9,7.5,6.9,6,5.6,5.3,5.2,4.3,3.8,4,4.2,4.6,4.5,4.3,4.5,5,5.2,5.1,5,4.7,4.5,4.5,4.3,4,3.9,3.6,3.4,3.1,2.8,2.8,3.1,3,3,2.8,2.5,2.3,2.5,2.7,2.5,2.5
Other Europe,Europe,2.3,2.2,2.3,2.3,2.2,2.2,2.3,2.2,2.2,2,2,2.4,2.2,2.1,2,2,2.1,1.9,1.9,2,2.1,2,2,2.1,2,1.9,1.9,1.9,1.9,2,1.9,1.9,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6
Azerbaijan,CIS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Kazakhstan,CIS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,9,9,9,9,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Russian Federation,CIS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,116.1,116.1,115.1,115.1,113.6,113.6,113.1,113.1,112.1,112.1,111.3,109.7,107.8,105.5,104.4,104,106.4,106.4,105.6,105.8,105.7,105.5,105,103.2,102.4,106.3,106.6,107.2,107.8,107.8
Turkmenistan,CIS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
USSR,CIS,67,63,63,63,63,63,61,59,59,58.5,58.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
