Country,Year,Production_Mb,Price_Brent,ln_Production,ln_Price,Price_lag1,ln_Reserves
Azerbaijan,2016,0.3022,43.73,0.2640551418206247,3.8006444174447567,3.9776234625120948,2.0794415416798357
Saudi Arabia,2006,3.8949,65.14,1.5881938467646055,4.191773707553646,4.016743316198549,5.580861261143694
United Kingdom,2007,0.6041,72.39,0.4725628516406585,4.295787686556971,4.191773707553646,1.4816045409242156
Syria,2008,0.1482,97.26,0.1381954987513994,4.587617026740502,4.295787686556971,1.252762968495368
Italy,2006,0.0438,65.14,0.042867900227175806,4.191773707553646,4.016743316198549,0.4054651081081644
Oman,1983,0.1427,29.55,0.133393883170531,3.4193646856176043,3.5254777821724925,1.5040773967762742
Argentina,1996,0.3004,20.67,0.2626719094476132,3.075928815548268,2.8914822521801917,1.2809338454620642
Vietnam,2018,0.0938,71.31,0.0896578719305353,4.28096243218686,4.01078177745141,1.6863989535702288
Russia,1998,2.2302,12.72,1.1725440548222756,2.6188546222977394,3.000222178826843,4.73707525686803
Peru,1994,0.0467,15.82,0.04564235787870107,2.822568654544802,2.8887037007954675,0.5877866649021191
Sudan,2015,0.0398,52.39,0.039028386967478346,3.9776234625120948,4.604670060946409,0.9162907318741551
Venezuela,2002,1.0859,25.02,0.7352004167909448,3.2588654730843594,3.2363227384719213,4.360547602996758
Iran,1983,0.8957,29.55,0.6395881634653823,3.4193646856176043,3.5254777821724925,4.030694535145645
Australia,1981,0.1639,35.93,0.1517764349657936,3.6090242288644716,3.6331024386449378,1.2809338454620642
Canada,1982,0.5804,32.97,0.45767797955509865,3.5254777821724925,3.6090242288644716,3.720862499966987
Saudi Arabia,1999,3.1113,17.97,1.4137392801984683,2.9428587839469227,2.6188546222977394,5.575191240283214
India,1997,0.2752,19.09,0.24310302905381354,3.000222178826843,3.075928815548268,1.8870696490323797
Oman,2015,0.3581,52.39,0.30608666412788554,3.9776234625120948,4.604670060946409,1.840549633397487
Argentina,2003,0.3332,28.83,0.28758206745144754,3.395514598526657,3.2588654730843594,1.308332819650179
Canada,1985,0.6617,27.56,0.5078411747250309,3.3520071374713836,3.393837027255863,3.735285826928092
